Data,Valor Real,Valor Previsto
2020-09-11,11.670000,11.319694
2020-09-14,11.750000,11.399189
2020-09-15,11.840000,11.536884
2020-09-16,11.590000,11.673679
2020-09-17,11.880000,11.728172
2020-09-18,11.510000,11.7350235
2020-09-21,11.130000,11.67027
2020-09-22,10.640000,11.506417
2020-09-23,10.650000,11.248108
2020-09-24,10.700000,10.978759
2020-09-25,10.740000,10.749829
2020-09-28,10.490000,10.625955
2020-09-29,10.410000,10.580181
2020-09-30,10.580000,10.585074
2020-10-01,10.410000,10.616425
2020-10-02,10.390000,10.631409
2020-10-05,10.750000,10.637388
2020-10-06,10.500000,10.670894
2020-10-07,10.750000,10.718845
2020-10-08,11.050000,10.768512
2020-10-09,11.190000,10.847881
2020-10-12,11.220000,10.964063
2020-10-13,11.210000,11.06693
2020-10-14,11.340000,11.146436
2020-10-15,11.180000,11.19004
2020-10-16,11.090000,11.208368
2020-10-19,11.130000,11.207148
2020-10-20,11.090000,11.18612
2020-10-21,11.260000,11.154161
2020-10-22,11.300000,11.136984
2020-10-23,11.310000,11.145829
2020-10-26,11.140000,11.173265
2020-10-27,11.040000,11.189342
2020-10-28,10.530000,11.156852
2020-10-29,10.770000,11.047821
2020-10-30,10.570000,10.909983
2020-11-02,10.720000,10.79055
2020-11-03,10.990000,10.734526
2020-11-04,10.840000,10.750894
2020-11-05,11.330000,10.830176
2020-11-06,11.770000,10.980178
2020-11-09,11.800000,11.243291
2020-11-10,11.730000,11.519916
2020-11-11,11.840000,11.729556
2020-11-12,11.490000,11.8317995
2020-11-13,11.680000,11.8163395
2020-11-16,12.060000,11.745946
2020-11-17,12.560000,11.719693
2020-11-18,12.400000,11.814739
2020-11-19,12.760000,11.998691
2020-11-20,12.680000,12.21956
2020-11-23,13.190000,12.449892
2020-11-24,14.010000,12.682188
2020-11-25,14.300000,12.978395
2020-11-27,14.730000,13.360561
2020-11-30,14.560000,13.780355
2020-12-01,15.640000,14.199024
2020-12-02,15.330000,14.49499
2020-12-03,15.340000,14.704188
2020-12-04,16.049999,14.874338
2020-12-07,16.280001,15.069613
2020-12-08,16.190001,15.247482
2020-12-09,16.090000,15.396317
2020-12-10,17.000000,15.523092
2020-12-11,16.860001,15.670429
2020-12-14,16.459999,15.80789
2020-12-15,16.670000,15.905757
2020-12-16,16.940001,15.945068
2020-12-17,17.230000,16.041346
2020-12-18,17.370001,16.180983
2020-12-21,17.000000,16.213327
2020-12-22,16.799999,16.16283
2020-12-23,16.830000,16.102295
2020-12-24,16.889999,16.074072
2020-12-28,16.730000,16.082075
2020-12-29,16.840000,16.116117
2020-12-30,16.950001,16.121788
2020-12-31,16.760000,16.144516
2021-01-04,17.400000,16.27983
2021-01-05,17.690001,16.404453
2021-01-06,18.160000,16.592089
2021-01-07,18.930000,16.890171
2021-01-08,18.920000,17.275385
2021-01-11,18.610001,17.488861
2021-01-12,18.709999,17.535572
2021-01-13,18.150000,17.482172
2021-01-14,18.940001,17.411953
2021-01-15,17.639999,17.323103
2021-01-19,17.610001,17.13282
2021-01-20,17.450001,16.962847
2021-01-21,17.469999,16.855278
2021-01-22,17.209999,16.677107
2021-01-25,16.950001,16.536425
2021-01-26,17.170000,16.497757
2021-01-27,16.510000,16.429455
2021-01-28,16.750000,16.3054
2021-01-29,16.150000,16.148268
2021-02-01,16.740000,16.030094
2021-02-02,16.379999,16.019049
2021-02-03,16.889999,16.081951
2021-02-04,16.500000,16.189226
2021-02-05,17.260000,16.26918
2021-02-08,17.650000,16.408707
2021-02-09,17.639999,16.542948
2021-02-10,17.650000,16.710924
2021-02-11,17.370001,16.858395
2021-02-12,17.500000,16.859169
2021-02-16,18.030001,16.87602
2021-02-17,17.870001,16.952328
2021-02-18,17.980000,17.048796
2021-02-19,18.219999,17.139095
2021-02-22,17.530001,17.03729
2021-02-23,17.900000,16.88411
2021-02-24,18.049999,16.809887
2021-02-25,17.400000,16.88664
2021-02-26,16.900000,16.949226
2021-03-01,17.530001,16.913631
2021-03-02,17.950001,16.806238
2021-03-03,17.879999,16.760553
2021-03-04,17.500000,16.853535
2021-03-05,17.740000,16.84153
2021-03-08,17.219999,16.81583
2021-03-09,17.010000,16.667852
2021-03-10,17.219999,16.488197
2021-03-11,18.020000,16.483416
2021-03-12,17.620001,16.614117
2021-03-15,17.240000,16.713404
2021-03-16,17.190001,16.78535
2021-03-17,17.559999,16.75102
2021-03-18,17.280001,16.707043
